Bike Name,Model,Manufacturer,Avg Lifespan (years),Demand,Base Price (INR),Base Price (USD)
Racer,GT500,Hero,11,Low,134218,1610.62
Rogue,TX900,Yamaha,5,Medium,74891,898.69
Storm,X100,Hero,15,High,150470,1805.64
Racer,MX200,Yamaha,9,High,113164,1357.97
Racer,GT500,BMW,11,High,144234,1730.81
Speedster,ZR700,Yamaha,11,High,195878,2350.54
Falcon,X100,KTM,9,High,93686,1124.23
Speedster,TX900,Hero,6,Medium,164479,1973.75
Falcon,TX900,BMW,10,Low,79696,956.35
Racer,TX900,Hero,5,Medium,180888,2170.66
Storm,TX900,BMW,11,High,60204,722.45
Rogue,X100,Honda,10,Low,162275,1947.3
Storm,ZR700,Honda,12,Low,119720,1436.64
Cruiser,ZR700,KTM,9,Medium,107556,1290.67
Storm,ZR700,Hero,14,Medium,192149,2305.79
Storm,ZR700,Suzuki,7,Medium,166254,1995.05
Rogue,MX200,Honda,12,Low,61967,743.6
Speedster,TX900,Honda,13,High,85896,1030.75
Falcon,Pro300,Yamaha,14,Low,117167,1406
Racer,Pro300,Honda,8,High,180760,2169.12
Cruiser,X100,Suzuki,5,High,151067,1812.8
Falcon,ZR700,Hero,13,Medium,183669,2204.03
Cruiser,ZR700,Suzuki,8,High,158751,1905.01
Speedster,Pro300,Yamaha,12,High,67654,811.85
Storm,MX200,Suzuki,9,Medium,116413,1396.96
Falcon,TX900,BMW,10,Medium,161970,1943.64
Rogue,MX200,Suzuki,9,Medium,111109,1333.31
Racer,TX900,Suzuki,5,Medium,144948,1739.38
Racer,TX900,BMW,13,Medium,137018,1644.22
Racer,X100,Yamaha,13,Medium,157094,1885.13
Storm,ZR700,KTM,8,Low,79694,956.33
Speedster,TX900,Honda,14,High,135144,1621.73
Racer,GT500,Suzuki,11,Low,199037,2388.44
Cruiser,X100,Honda,9,Low,108712,1304.54
Cruiser,Pro300,Honda,9,High,57264,687.17
Storm,X100,BMW,7,Medium,137207,1646.48
Speedster,ZR700,Honda,10,Medium,191217,2294.6
Racer,Pro300,Suzuki,12,Medium,81676,980.11
Racer,GT500,Hero,10,Medium,159982,1919.78
Speedster,TX900,Hero,6,High,185020,2220.24
Rogue,ZR700,Yamaha,10,Low,123913,1486.96
Cruiser,TX900,Yamaha,8,Medium,113935,1367.22
Cruiser,MX200,BMW,8,High,92807,1113.68
Rogue,MX200,KTM,10,High,101537,1218.44
Rogue,ZR700,Hero,6,Medium,139633,1675.6
Cruiser,X100,Yamaha,9,Low,163576,1962.91
Falcon,MX200,Honda,8,Low,57011,684.13
Cruiser,GT500,Hero,6,Medium,186321,2235.85
Racer,ZR700,Hero,13,High,84603,1015.24
Storm,TX900,Suzuki,5,High,120181,1442.17
Racer,MX200,Suzuki,5,High,83436,1001.23
Cruiser,X100,KTM,5,Low,182366,2188.39
Rogue,TX900,Hero,14,High,61137,733.64
Speedster,TX900,Hero,7,High,120473,1445.68
Storm,TX900,Honda,11,High,167028,2004.34
Cruiser,X100,Yamaha,14,Low,185827,2229.92
Cruiser,X100,Honda,10,High,69180,830.16
Storm,MX200,BMW,13,Low,161332,1935.98
Rogue,ZR700,BMW,6,High,137312,1647.74
Falcon,ZR700,KTM,9,High,189141,2269.69
Falcon,TX900,Honda,12,Medium,122189,1466.27
Cruiser,Pro300,Hero,5,High,98454,1181.45
Cruiser,TX900,Hero,14,Medium,138664,1663.97
Storm,ZR700,Hero,6,Low,123477,1481.72
Rogue,GT500,BMW,13,Medium,89503,1074.04
Falcon,GT500,Honda,13,Medium,69984,839.81
Storm,GT500,KTM,9,Low,159491,1913.89
Speedster,TX900,Hero,15,Medium,179287,2151.44
Storm,X100,Yamaha,14,High,96084,1153.01
Rogue,Pro300,Yamaha,7,Medium,117743,1412.92
Storm,Pro300,BMW,6,Medium,157456,1889.47
Racer,TX900,KTM,15,Medium,135712,1628.54
Falcon,TX900,KTM,6,Medium,83828,1005.94
Rogue,GT500,Hero,15,Medium,76003,912.04
Speedster,ZR700,Suzuki,9,Medium,78011,936.13
Storm,Pro300,Suzuki,14,Medium,155808,1869.7
Falcon,ZR700,KTM,13,High,68501,822.01
Cruiser,X100,Hero,12,Low,74368,892.42
Racer,GT500,Suzuki,13,Low,124024,1488.29
Racer,X100,Hero,11,Medium,77674,932.09
Speedster,TX900,Yamaha,10,High,57783,693.4
Speedster,Pro300,BMW,14,High,134533,1614.4
Storm,GT500,Suzuki,13,High,117831,1413.97
Racer,ZR700,Suzuki,10,Medium,198395,2380.74
Racer,ZR700,Suzuki,9,High,161893,1942.72
Storm,TX900,BMW,10,Low,173269,2079.23
Falcon,Pro300,Honda,13,Low,173914,2086.97
Speedster,ZR700,Yamaha,8,Low,134686,1616.23
Rogue,Pro300,KTM,12,High,108409,1300.91
Falcon,MX200,Yamaha,13,High,139525,1674.3
Cruiser,X100,Honda,14,Low,165290,1983.48
Speedster,MX200,Honda,8,Medium,139789,1677.47
Storm,MX200,Suzuki,11,High,97995,1175.94
Storm,X100,KTM,6,High,104230,1250.76
Storm,TX900,KTM,7,High,158610,1903.32
Storm,ZR700,Suzuki,6,Medium,78292,939.5
Falcon,MX200,BMW,14,High,163071,1956.85
Racer,GT500,Yamaha,7,Low,148229,1778.75
Storm,TX900,BMW,10,Low,93912,1126.94
Racer,TX900,Hero,6,Medium,119406,1432.87
Rogue,ZR700,BMW,15,Medium,135191,1622.29
Storm,MX200,KTM,15,Medium,91734,1100.81
Storm,ZR700,BMW,13,Medium,179417,2153
Falcon,Pro300,Honda,8,Low,118428,1421.14
Cruiser,Pro300,Yamaha,11,High,147085,1765.02
Rogue,X100,Honda,13,High,60383,724.6
Falcon,GT500,KTM,7,Low,187697,2252.36
Storm,GT500,KTM,12,Low,53672,644.06
Racer,GT500,Honda,12,Low,189013,2268.16
Racer,TX900,Honda,14,Medium,104164,1249.97
Speedster,GT500,Hero,6,Medium,185130,2221.56
Falcon,Pro300,Suzuki,12,Medium,123150,1477.8
Racer,X100,BMW,15,High,154799,1857.59
Storm,ZR700,Hero,7,High,77950,935.4
Speedster,TX900,BMW,8,Medium,89509,1074.11
Cruiser,GT500,Honda,13,Medium,60483,725.8
Rogue,X100,Honda,9,Low,71696,860.35
Storm,X100,Suzuki,12,Low,113156,1357.87
Racer,TX900,KTM,10,Medium,85987,1031.84
Rogue,Pro300,BMW,6,Medium,143962,1727.54
Rogue,MX200,KTM,6,Low,175125,2101.5
Speedster,ZR700,BMW,10,Medium,172449,2069.39
Falcon,TX900,Suzuki,13,High,143112,1717.34
Speedster,X100,Honda,7,Medium,90008,1080.1
Rogue,GT500,Suzuki,7,Low,171658,2059.9
Rogue,GT500,Honda,13,High,83492,1001.9
Cruiser,GT500,Yamaha,11,Medium,125520,1506.24
Storm,ZR700,Suzuki,7,Low,99516,1194.19
Cruiser,GT500,Suzuki,10,Low,181774,2181.29
Speedster,GT500,KTM,11,Medium,54025,648.3
Cruiser,TX900,Hero,10,High,71445,857.34
Cruiser,TX900,Hero,10,Medium,157884,1894.61
Falcon,X100,BMW,12,Low,195258,2343.1
Rogue,TX900,Honda,12,High,176742,2120.9
Rogue,ZR700,Hero,7,Low,172221,2066.65
Speedster,TX900,Honda,11,High,197688,2372.26
Racer,TX900,KTM,8,Low,173494,2081.93
Storm,MX200,Suzuki,7,Low,99522,1194.26
Falcon,ZR700,Yamaha,9,Low,193583,2323
Cruiser,TX900,KTM,15,Low,78862,946.34
Storm,Pro300,Suzuki,8,Medium,53176,638.11
Racer,MX200,Suzuki,10,Low,100654,1207.85
Storm,ZR700,Hero,13,Low,151797,1821.56
Falcon,MX200,Yamaha,5,Low,142110,1705.32
Racer,TX900,Suzuki,10,Low,108231,1298.77
Speedster,ZR700,KTM,12,Low,149195,1790.34
Cruiser,X100,Honda,5,Medium,105501,1266.01
Speedster,ZR700,Suzuki,14,Medium,172138,2065.66
Speedster,Pro300,KTM,7,Low,60229,722.75
Racer,X100,KTM,12,Low,196235,2354.82
Rogue,TX900,Yamaha,9,Medium,78558,942.7
Speedster,ZR700,Hero,6,Low,83231,998.77
Rogue,ZR700,KTM,11,High,59503,714.04
Storm,TX900,BMW,13,Medium,180591,2167.09
Racer,MX200,Honda,15,Medium,193001,2316.01
Rogue,GT500,Yamaha,5,Low,68388,820.66
Falcon,MX200,Honda,15,Medium,175842,2110.1
Storm,X100,Honda,8,Medium,139499,1673.99
Cruiser,ZR700,Hero,10,Medium,59913,718.96
Rogue,ZR700,Suzuki,11,Medium,169227,2030.72
Falcon,Pro300,BMW,7,High,178957,2147.48
Speedster,TX900,Hero,10,High,126054,1512.65
Speedster,X100,KTM,6,High,162346,1948.15
Speedster,TX900,Hero,10,High,54272,651.26
Racer,ZR700,Hero,6,Medium,199323,2391.88
Storm,TX900,KTM,9,High,182277,2187.32
Cruiser,Pro300,Yamaha,13,Low,178820,2145.84
Cruiser,GT500,Yamaha,13,Medium,51590,619.08
Falcon,ZR700,Yamaha,12,Low,197474,2369.69
Storm,GT500,Suzuki,6,High,150021,1800.25
Rogue,MX200,Honda,10,High,116346,1396.15
Falcon,MX200,Suzuki,15,Low,144908,1738.9
Rogue,X100,Hero,7,High,55347,664.16
Racer,ZR700,Hero,15,High,122950,1475.4
Racer,MX200,Hero,10,Medium,103499,1241.99
Speedster,MX200,KTM,8,Medium,127804,1533.65
Racer,Pro300,Yamaha,10,High,177067,2124.8
Speedster,Pro300,Suzuki,6,High,87880,1054.56
Storm,GT500,KTM,15,Low,150832,1809.98
Cruiser,TX900,KTM,11,Low,133932,1607.18
Cruiser,X100,Suzuki,14,High,174387,2092.64
Cruiser,TX900,BMW,14,High,188277,2259.32
Racer,ZR700,Suzuki,12,High,132597,1591.16
Speedster,Pro300,Yamaha,12,Low,148250,1779
Speedster,X100,Hero,10,High,117363,1408.36
Falcon,ZR700,Hero,15,Low,69215,830.58
Rogue,ZR700,BMW,5,High,152578,1830.94
Cruiser,TX900,Suzuki,12,Medium,128409,1540.91
Falcon,ZR700,Suzuki,14,High,118041,1416.49
Speedster,GT500,KTM,13,Low,68248,818.98
Falcon,MX200,Yamaha,10,Low,152850,1834.2
Falcon,TX900,KTM,9,Medium,187444,2249.33
Speedster,X100,Hero,5,Low,118034,1416.41
Speedster,ZR700,Honda,10,High,51897,622.76
Falcon,ZR700,Suzuki,6,High,95487,1145.84
Racer,ZR700,Yamaha,6,Medium,83842,1006.1
Rogue,GT500,Yamaha,9,High,107004,1284.05
Racer,Pro300,BMW,13,High,122910,1474.92
Racer,Pro300,Hero,12,Medium,133860,1606.32
Speedster,Pro300,Hero,14,High,90244,1082.93
Speedster,X100,Hero,10,Medium,105831,1269.97
Racer,X100,BMW,13,Medium,163240,1958.88
Racer,ZR700,Honda,6,Medium,162384,1948.61
Rogue,X100,BMW,5,Medium,190543,2286.52
Rogue,TX900,Yamaha,9,Medium,98141,1177.69
Storm,MX200,Hero,14,Medium,171485,2057.82
Rogue,MX200,BMW,13,High,147576,1770.91
Rogue,GT500,Suzuki,11,Low,101206,1214.47
Cruiser,X100,KTM,8,Medium,74011,888.13
Speedster,X100,Hero,9,High,77624,931.49
Racer,Pro300,Suzuki,6,Low,111060,1332.72
Speedster,TX900,Honda,5,Medium,166960,2003.52
Racer,X100,Honda,10,High,90568,1086.82
Racer,Pro300,BMW,15,Low,78923,947.08
Falcon,X100,Suzuki,8,Low,112669,1352.03
Rogue,TX900,Yamaha,11,Low,54708,656.5
Racer,TX900,KTM,15,High,130142,1561.7
Speedster,X100,Honda,11,Low,176084,2113.01
Rogue,Pro300,Suzuki,9,Medium,93242,1118.9
Storm,GT500,Yamaha,10,High,198928,2387.14
Storm,X100,BMW,5,Low,126688,1520.26
Cruiser,GT500,Honda,5,Medium,62172,746.06
Racer,X100,Honda,15,High,79688,956.26
Cruiser,GT500,Suzuki,15,High,129921,1559.05
Speedster,TX900,Honda,11,Low,130375,1564.5
Storm,MX200,Suzuki,8,High,58937,707.24
Falcon,GT500,Suzuki,8,High,78405,940.86
Speedster,GT500,Yamaha,14,High,188847,2266.16
Speedster,MX200,BMW,14,Low,55831,669.97
Racer,Pro300,Yamaha,13,Low,161755,1941.06
Racer,GT500,KTM,8,Medium,66935,803.22
Storm,TX900,BMW,8,High,138670,1664.04
Cruiser,TX900,KTM,14,High,185016,2220.19
Cruiser,ZR700,Yamaha,8,High,181640,2179.68
Racer,Pro300,Yamaha,12,Low,178544,2142.53
Rogue,TX900,KTM,9,High,160908,1930.9
Storm,GT500,Honda,6,Medium,152261,1827.13
Speedster,Pro300,BMW,11,High,181397,2176.76
Cruiser,Pro300,Yamaha,7,High,107160,1285.92
Falcon,GT500,Yamaha,7,High,155004,1860.05
Storm,X100,Yamaha,11,Medium,142914,1714.97
Speedster,MX200,KTM,10,Low,106293,1275.52
Storm,Pro300,Yamaha,8,High,138430,1661.16
Speedster,Pro300,Honda,12,High,99408,1192.9
Racer,MX200,Hero,14,Medium,185525,2226.3
Cruiser,Pro300,Suzuki,6,Medium,149658,1795.9
Cruiser,MX200,Suzuki,15,Medium,141258,1695.1
Speedster,MX200,Hero,10,High,174516,2094.19
Rogue,Pro300,Suzuki,10,Low,62517,750.2
Rogue,X100,Suzuki,7,Low,86430,1037.16
Speedster,GT500,Hero,14,Medium,100283,1203.4
Racer,ZR700,Honda,11,Medium,169040,2028.48
Speedster,ZR700,Suzuki,7,Low,81703,980.44
Speedster,ZR700,Yamaha,12,Low,80037,960.44
Racer,GT500,KTM,10,High,51799,621.59
Rogue,X100,Suzuki,13,Medium,122349,1468.19
Racer,ZR700,Yamaha,9,Low,158302,1899.62
Cruiser,GT500,BMW,12,Medium,54612,655.34
Speedster,TX900,Honda,10,High,77237,926.84
Racer,GT500,BMW,8,Medium,169358,2032.3
Racer,GT500,Suzuki,7,Medium,127086,1525.03
Rogue,ZR700,Hero,14,Medium,183872,2206.46
Racer,GT500,BMW,9,Low,80644,967.73
Falcon,ZR700,Yamaha,10,Medium,191108,2293.3
Speedster,ZR700,Yamaha,11,Low,135555,1626.66
Rogue,MX200,Yamaha,13,High,181276,2175.31
Storm,Pro300,Suzuki,11,High,54566,654.79
Cruiser,GT500,Suzuki,12,Medium,167948,2015.38
Cruiser,TX900,KTM,9,High,96984,1163.81
Falcon,TX900,BMW,12,High,88674,1064.09
Falcon,Pro300,Suzuki,12,High,91282,1095.38
Rogue,GT500,Yamaha,10,High,149778,1797.34
Racer,MX200,BMW,13,Low,153879,1846.55
Rogue,MX200,BMW,7,Low,124807,1497.68
Speedster,Pro300,Yamaha,12,Medium,125092,1501.1
Cruiser,ZR700,BMW,9,Medium,129162,1549.94
Speedster,TX900,Yamaha,14,Medium,183608,2203.3
Storm,MX200,Yamaha,10,High,113080,1356.96
Speedster,MX200,Hero,14,Low,189859,2278.31
Rogue,MX200,Yamaha,6,Medium,75996,911.95
Cruiser,ZR700,KTM,5,Low,181050,2172.6
Storm,GT500,KTM,9,High,114578,1374.94
Speedster,MX200,Yamaha,12,Medium,60184,722.21
Storm,TX900,Yamaha,13,High,157331,1887.97
Storm,Pro300,Yamaha,8,Medium,163177,1958.12
Speedster,ZR700,Hero,13,Medium,115134,1381.61
Cruiser,TX900,Hero,5,Medium,88848,1066.18
Falcon,X100,Hero,11,Medium,160543,1926.52
Falcon,ZR700,Yamaha,9,High,74867,898.4
Falcon,TX900,Hero,15,Low,128819,1545.83
Falcon,MX200,BMW,15,Low,172279,2067.35
Storm,MX200,Hero,8,Medium,139524,1674.29
Speedster,Pro300,Yamaha,12,Low,59608,715.3
Racer,X100,KTM,12,Medium,97996,1175.95
Speedster,GT500,KTM,14,Medium,190472,2285.66
Cruiser,MX200,KTM,11,High,125068,1500.82
Rogue,ZR700,KTM,9,Low,160890,1930.68
Cruiser,ZR700,Suzuki,15,Medium,77023,924.28
Speedster,TX900,Honda,6,Medium,197830,2373.96
Speedster,TX900,KTM,8,Medium,162743,1952.92
Falcon,Pro300,Yamaha,12,High,82074,984.89
Storm,ZR700,Honda,14,High,76848,922.18
Storm,GT500,Yamaha,13,High,122023,1464.28
Falcon,X100,Honda,6,Medium,165275,1983.3
Rogue,TX900,Honda,10,Low,161483,1937.8
Falcon,TX900,KTM,7,Low,88308,1059.7
Speedster,MX200,Hero,14,Low,66075,792.9
Storm,GT500,Yamaha,10,Medium,54029,648.35
Cruiser,ZR700,Honda,13,Low,61787,741.44
Speedster,ZR700,Yamaha,14,Low,168663,2023.96
Rogue,ZR700,KTM,15,Medium,137270,1647.24
Storm,TX900,Honda,12,Medium,186477,2237.72
Storm,ZR700,BMW,14,Low,181933,2183.2
Speedster,TX900,Honda,9,Medium,151364,1816.37
Rogue,X100,Suzuki,5,High,97122,1165.46
Storm,Pro300,KTM,5,High,97155,1165.86
Speedster,TX900,Suzuki,14,Medium,107778,1293.34
Racer,MX200,Suzuki,13,Low,126112,1513.34
Storm,GT500,Suzuki,15,High,135436,1625.23
Storm,Pro300,Honda,13,Low,104457,1253.48
Rogue,MX200,BMW,8,Medium,139254,1671.05
Rogue,TX900,Yamaha,6,Medium,60954,731.45
Rogue,TX900,Suzuki,11,Low,87205,1046.46
Rogue,MX200,Suzuki,12,Low,160044,1920.53
Cruiser,MX200,Hero,9,Medium,189172,2270.06
Falcon,GT500,KTM,10,Low,143204,1718.45
Cruiser,MX200,Hero,8,Low,63568,762.82
Falcon,X100,Suzuki,5,High,139490,1673.88
Cruiser,GT500,Hero,5,Low,117951,1415.41
Storm,X100,Hero,6,Medium,111187,1334.24
Falcon,TX900,Honda,11,Medium,55367,664.4
Rogue,TX900,Suzuki,8,High,167801,2013.61
Cruiser,Pro300,Yamaha,7,Low,70549,846.59
Speedster,TX900,Suzuki,11,High,93672,1124.06
Speedster,TX900,Honda,8,High,73678,884.14
Cruiser,ZR700,Yamaha,8,High,93701,1124.41
Falcon,MX200,KTM,5,Medium,53067,636.8
Storm,Pro300,KTM,14,Low,179053,2148.64
Racer,ZR700,Hero,10,Medium,171061,2052.73
Speedster,MX200,Yamaha,13,Low,117331,1407.97
Storm,ZR700,Hero,7,High,174027,2088.32
Cruiser,ZR700,Honda,12,High,191681,2300.17
Speedster,GT500,KTM,11,Low,108251,1299.01
Storm,Pro300,Suzuki,10,Low,125322,1503.86
Racer,ZR700,BMW,5,Medium,75625,907.5
Speedster,ZR700,BMW,7,Low,135564,1626.77
Rogue,GT500,KTM,8,High,133111,1597.33
Speedster,X100,Hero,12,Low,87403,1048.84
Rogue,Pro300,Honda,12,Medium,198912,2386.94
Rogue,X100,Yamaha,12,High,79187,950.24
Storm,GT500,Honda,7,Low,152603,1831.24
Storm,MX200,Suzuki,12,Medium,122976,1475.71
Falcon,GT500,Hero,7,Low,132890,1594.68
Racer,X100,BMW,9,Medium,59258,711.1
Storm,MX200,BMW,14,High,156261,1875.13
Storm,X100,BMW,14,Medium,162206,1946.47
Speedster,MX200,Yamaha,8,High,102178,1226.14
Rogue,GT500,KTM,9,Medium,138167,1658
Rogue,TX900,Yamaha,12,High,187306,2247.67
Rogue,X100,Hero,12,Medium,137001,1644.01
Racer,MX200,Hero,5,High,121415,1456.98
Speedster,ZR700,BMW,8,Medium,108531,1302.37
Falcon,ZR700,KTM,6,High,102931,1235.17
Speedster,GT500,Suzuki,7,High,166302,1995.62
Cruiser,ZR700,Suzuki,6,Medium,183829,2205.95
Rogue,TX900,Suzuki,5,Low,61448,737.38
Cruiser,X100,Suzuki,7,Low,129433,1553.2
Speedster,ZR700,Honda,6,High,65808,789.7
Cruiser,Pro300,Hero,14,High,186597,2239.16
Falcon,X100,KTM,7,Medium,155301,1863.61
Falcon,Pro300,KTM,6,Low,54842,658.1
Cruiser,GT500,KTM,11,Medium,146422,1757.06
Speedster,MX200,BMW,13,Low,134371,1612.45
Speedster,ZR700,Yamaha,6,Low,183992,2207.9
Cruiser,X100,Yamaha,8,Medium,98468,1181.62
Storm,ZR700,Suzuki,8,Low,135499,1625.99
Racer,ZR700,Hero,14,Medium,165728,1988.74
Speedster,X100,Honda,8,Medium,158537,1902.44
Speedster,X100,Yamaha,14,Low,107761,1293.13
Rogue,Pro300,KTM,6,Low,55772,669.26
Storm,GT500,BMW,8,High,197113,2365.36
Falcon,X100,BMW,10,High,85754,1029.05
Racer,ZR700,KTM,11,Medium,187815,2253.78
Speedster,MX200,Yamaha,13,High,166148,1993.78
Racer,X100,Suzuki,9,Low,70274,843.29
Falcon,Pro300,Honda,5,Low,158245,1898.94
Rogue,MX200,BMW,14,Low,175504,2106.05
Speedster,ZR700,Yamaha,9,High,52375,628.5
Cruiser,TX900,Hero,9,High,112160,1345.92
Rogue,X100,BMW,12,High,84857,1018.28
Racer,Pro300,Hero,11,Medium,144859,1738.31
Speedster,TX900,BMW,8,Low,155224,1862.69
Cruiser,X100,Suzuki,13,Medium,83476,1001.71
Speedster,Pro300,Hero,10,Medium,121222,1454.66
Racer,TX900,Suzuki,5,High,171051,2052.61
Cruiser,GT500,KTM,11,Low,104713,1256.56
Speedster,TX900,Suzuki,14,Medium,101454,1217.45
Storm,GT500,Honda,9,Low,187960,2255.52
Speedster,TX900,Hero,14,High,105434,1265.21
Cruiser,GT500,Yamaha,14,Low,102379,1228.55
Cruiser,MX200,Honda,14,High,105096,1261.15
Rogue,GT500,Honda,10,Medium,132944,1595.33
Racer,GT500,Yamaha,14,Medium,169749,2036.99
Speedster,TX900,Hero,10,Medium,170599,2047.19
Falcon,GT500,Hero,12,Medium,161848,1942.18
Rogue,MX200,BMW,15,Low,152806,1833.67
Cruiser,Pro300,Suzuki,5,Low,171037,2052.44
Cruiser,ZR700,BMW,7,Low,195904,2350.85
Rogue,GT500,Suzuki,15,Medium,82170,986.04
Storm,GT500,Yamaha,7,High,185902,2230.82
Falcon,Pro300,Honda,9,Low,178403,2140.84
Falcon,ZR700,KTM,10,High,73254,879.05
Speedster,X100,Honda,6,High,97657,1171.88
Storm,MX200,BMW,15,Medium,177421,2129.05
Rogue,ZR700,KTM,10,Medium,141684,1700.21
Racer,ZR700,Hero,15,Medium,117933,1415.2
Speedster,TX900,BMW,10,Medium,178742,2144.9
Cruiser,Pro300,BMW,14,Medium,141878,1702.54
Racer,X100,Hero,13,High,105193,1262.32
Cruiser,MX200,Honda,9,Low,130667,1568
Racer,Pro300,KTM,15,Low,69665,835.98
Rogue,GT500,Suzuki,10,Medium,141205,1694.46
Storm,TX900,Honda,5,Medium,75017,900.2
Racer,MX200,Suzuki,13,High,192679,2312.15
Storm,TX900,Honda,8,Medium,156941,1883.29
Rogue,Pro300,Suzuki,9,Low,94743,1136.92
Storm,TX900,BMW,7,High,155086,1861.03
Cruiser,GT500,Honda,13,High,174981,2099.77
Rogue,Pro300,Suzuki,13,Low,170223,2042.68
Rogue,X100,Honda,15,High,134108,1609.3
Racer,X100,Hero,8,Low,173785,2085.42
Racer,ZR700,Suzuki,7,Low,103115,1237.38
Storm,TX900,BMW,6,Low,70958,851.5
Speedster,Pro300,BMW,7,Low,148596,1783.15
Racer,MX200,Hero,15,High,153408,1840.9
Rogue,ZR700,KTM,14,Low,129969,1559.63
Storm,ZR700,Suzuki,14,Low,134384,1612.61
Cruiser,Pro300,Honda,15,High,125358,1504.3
Falcon,TX900,Honda,6,Low,99176,1190.11
Storm,X100,KTM,8,Low,184512,2214.14
Rogue,MX200,Honda,11,Medium,146792,1761.5
Storm,TX900,Honda,13,High,179653,2155.84
Cruiser,GT500,KTM,5,Low,62800,753.6
Cruiser,TX900,Hero,10,Medium,160185,1922.22
Storm,MX200,KTM,5,Low,113875,1366.5
Cruiser,ZR700,Honda,12,Medium,66519,798.23
Speedster,ZR700,Yamaha,13,Low,174892,2098.7
Storm,ZR700,Yamaha,5,Medium,114250,1371
Falcon,Pro300,Hero,9,Medium,77272,927.26
Speedster,GT500,KTM,8,High,98814,1185.77
Storm,TX900,BMW,8,High,105308,1263.7
Rogue,X100,Hero,7,Medium,121701,1460.41
Cruiser,ZR700,Hero,12,Medium,158460,1901.52
Storm,X100,Yamaha,11,Medium,59579,714.95
Rogue,TX900,Honda,9,Medium,170136,2041.63
Falcon,TX900,Yamaha,9,Low,124418,1493.02
Racer,TX900,Honda,14,High,162215,1946.58
Racer,X100,Yamaha,7,Low,196231,2354.77
Speedster,X100,Hero,15,Low,163222,1958.66
Rogue,MX200,Hero,8,Low,58103,697.24
Rogue,TX900,BMW,10,High,157057,1884.68
Racer,Pro300,Yamaha,5,Low,61409,736.91
Cruiser,Pro300,Yamaha,8,Medium,168692,2024.3
Cruiser,X100,BMW,8,Medium,77838,934.06
Storm,X100,KTM,5,High,101541,1218.49
Racer,ZR700,BMW,7,Low,190829,2289.95
Speedster,GT500,Suzuki,12,High,58635,703.62
Falcon,X100,Hero,5,Low,187704,2252.45
Rogue,ZR700,BMW,12,Medium,57699,692.39
Speedster,GT500,Yamaha,8,High,140170,1682.04
Storm,GT500,Honda,10,High,170599,2047.19
Cruiser,MX200,Hero,13,Medium,187923,2255.08
Rogue,X100,BMW,11,High,138020,1656.24
Speedster,GT500,BMW,10,Low,81335,976.02
Speedster,GT500,Honda,13,High,96200,1154.4
Speedster,ZR700,KTM,8,Medium,74845,898.14
Cruiser,GT500,KTM,8,Medium,182578,2190.94
Rogue,Pro300,KTM,13,Medium,126261,1515.13
Falcon,MX200,Suzuki,10,Low,93822,1125.86
Rogue,GT500,Suzuki,10,High,180666,2167.99
Cruiser,MX200,Suzuki,9,Medium,119669,1436.03
Rogue,X100,Honda,5,Medium,189677,2276.12
Rogue,TX900,Yamaha,8,Medium,113505,1362.06
Storm,GT500,BMW,12,High,162797,1953.56
Storm,MX200,KTM,7,Low,83745,1004.94
Speedster,ZR700,Suzuki,15,Medium,193279,2319.35
Speedster,X100,Yamaha,11,High,138868,1666.42
Rogue,TX900,Hero,9,High,166357,1996.28
Rogue,X100,Hero,5,Medium,85513,1026.16
Rogue,TX900,Yamaha,12,High,181699,2180.39
Rogue,MX200,Hero,7,Low,84166,1009.99
Cruiser,TX900,Suzuki,5,High,66662,799.94
Speedster,X100,KTM,12,High,128863,1546.36
Speedster,GT500,Yamaha,13,Medium,160755,1929.06
Rogue,TX900,Hero,6,High,179602,2155.22
Storm,TX900,Yamaha,5,Medium,82312,987.74
